,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Paul Arizin*,SF,22,PHW,65,,,352,864,.407,,,,352,864,.407,.407,417,526,.793,,,640,138,,,,284,1121,1951
1,2,Curly Armstrong,G-F,32,FTW,38,,,72,232,.310,,,,72,232,.310,.310,58,90,.644,,,89,77,,,,97,202,1951
2,3,Cliff Barker,SG,30,INO,56,,,51,202,.252,,,,51,202,.252,.252,50,77,.649,,,100,115,,,,98,152,1951
3,4,Leo Barnhorst,SF,26,INO,68,,,232,671,.346,,,,232,671,.346,.346,82,119,.689,,,296,218,,,,197,546,1951
4,5,Ed Bartels,F,25,WSC,17,,,24,97,.247,,,,24,97,.247,.247,24,46,.522,,,84,12,,,,54,72,1951
5,6,Ed Beach,F,22,TOT,12,,,8,38,.211,,,,8,38,.211,.211,6,9,.667,,,25,3,,,,14,22,1951
6,6,Ed Beach,F,22,MNL,11,,,8,35,.229,,,,8,35,.229,.229,6,9,.667,,,25,2,,,,14,22,1951
7,6,Ed Beach,F,22,TRI,1,,,0,3,.000,,,,0,3,.000,.000,0,0,,,,0,1,,,,0,0,1951
8,7,Ralph Beard,G,23,INO,66,,,409,1110,.368,,,,409,1110,.368,.368,293,378,.775,,,251,318,,,,96,1111,1951
9,8,Leon Blevins,G,24,INO,2,,,1,4,.250,,,,1,4,.250,.250,0,1,.000,,,2,1,,,,3,2,1951
10,9,Nelson Bobb,PG,26,PHW,53,,,52,158,.329,,,,52,158,.329,.329,44,79,.557,,,101,82,,,,83,148,1951
11,10,Ike Borsavage,C-F,26,PHW,24,,,26,74,.351,,,,26,74,.351,.351,12,18,.667,,,24,4,,,,34,64,1951
12,11,Vince Boryla,SF,23,NYK,66,,,352,867,.406,,,,352,867,.406,.406,278,332,.837,,,249,182,,,,244,982,1951
13,12,Harry Boykoff,C,28,TOT,48,,,126,336,.375,,,,126,336,.375,.375,74,100,.740,,,220,60,,,,197,326,1951
14,12,Harry Boykoff,C,28,BOS,32,,,78,203,.384,,,,78,203,.384,.384,45,63,.714,,,135,40,,,,130,201,1951
15,12,Harry Boykoff,C,28,TRI,16,,,48,133,.361,,,,48,133,.361,.361,29,37,.784,,,85,20,,,,67,125,1951
16,13,Frankie Brian,G,27,TRI,68,,,363,1127,.322,,,,363,1127,.322,.322,418,508,.823,,,244,266,,,,215,1144,1951
17,14,Walt Budko,PF,25,BLB,64,,,165,464,.356,,,,165,464,.356,.356,166,223,.744,,,452,135,,,,203,496,1951
18,15,Art Burris,SF,26,FTW,33,,,28,113,.248,,,,28,113,.248,.248,21,36,.583,,,106,27,,,,51,77,1951
19,16,Tommy Byrnes,F-G,27,TOT,47,,,81,267,.303,,,,81,267,.303,.303,55,84,.655,,,71,69,,,,81,217,1951
20,16,Tommy Byrnes,F-G,27,BLB,16,,,35,100,.350,,,,35,100,.350,.350,20,28,.714,,,27,21,,,,28,90,1951
21,16,Tommy Byrnes,F-G,27,WSC,12,,,13,65,.200,,,,13,65,.200,.200,14,27,.519,,,11,16,,,,20,40,1951
22,16,Tommy Byrnes,F-G,27,TRI,19,,,33,102,.324,,,,33,102,.324,.324,21,29,.724,,,33,32,,,,33,87,1951
23,17,Gerry Calabrese,SG,25,SYR,46,,,70,197,.355,,,,70,197,.355,.355,61,88,.693,,,65,65,,,,80,201,1951
24,18,Bill Calhoun,SG,23,ROC,66,,,175,506,.346,,,,175,506,.346,.346,161,228,.706,,,199,99,,,,87,511,1951
25,19,Don Carlson,G-F,31,BLB,9,,,17,46,.370,,,,17,46,.370,.370,8,16,.500,,,15,19,,,,23,42,1951
26,20,Bob Carpenter,F-C,33,TOT,56,,,109,335,.325,,,,109,335,.325,.325,105,128,.820,,,229,79,,,,115,323,1951
27,20,Bob Carpenter,F-C,33,FTW,21,,,27,124,.218,,,,27,124,.218,.218,47,58,.810,,,62,16,,,,36,101,1951
28,20,Bob Carpenter,F-C,33,TRI,35,,,82,211,.389,,,,82,211,.389,.389,58,70,.829,,,167,63,,,,79,222,1951
29,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1951
30,21,Al Cervi*,PG,33,SYR,53,,,132,346,.382,,,,132,346,.382,.382,194,237,.819,,,152,208,,,,180,458,1951
31,22,Leroy Chollet,F,25,SYR,14,,,6,51,.118,,,,6,51,.118,.118,12,19,.632,,,15,12,,,,29,24,1951
32,23,Cal Christensen,SF,23,TRI,67,,,134,445,.301,,,,134,445,.301,.301,175,245,.714,,,523,161,,,,266,443,1951
33,24,Nat Clifton*,PF,28,NYK,65,,,211,656,.322,,,,211,656,.322,.322,140,263,.532,,,491,162,,,,269,562,1951
34,25,Bill Closs,SF,29,PHW,65,,,202,631,.320,,,,202,631,.320,.320,166,223,.744,,,401,110,,,,156,570,1951
35,26,Jack Coleman,PF,26,ROC,67,,,315,749,.421,,,,315,749,.421,.421,134,172,.779,,,584,197,,,,193,764,1951
36,27,Chuck Cooper*,F,24,BOS,66,,,207,601,.344,,,,207,601,.344,.344,201,267,.753,,,562,174,,,,219,615,1951
37,28,Ray Corley,G,23,TOT,34,,,46,152,.303,,,,46,152,.303,.303,30,55,.545,,,77,60,,,,52,122,1951
38,28,Ray Corley,G,23,BLB,16,,,17,67,.254,,,,17,67,.254,.254,14,26,.538,,,34,22,,,,26,48,1951
39,28,Ray Corley,G,23,TRI,18,,,29,85,.341,,,,29,85,.341,.341,16,29,.552,,,43,38,,,,26,74,1951
40,29,Bob Cousy*,PG,22,BOS,69,,,401,1138,.352,,,,401,1138,.352,.352,276,365,.756,,,474,341,,,,185,1078,1951
41,30,Bob Davies*,PG,31,ROC,63,,,326,877,.372,,,,326,877,.372,.372,303,381,.795,,,197,287,,,,208,955,1951
42,31,Hank DeZonie,C-F,28,TRI,5,,,6,25,.240,,,,6,25,.240,.240,5,7,.714,,,18,9,,,,6,17,1951
43,32,Joe Dolhon,G,23,BLB,13,,,17,56,.304,,,,17,56,.304,.304,17,23,.739,,,18,19,,,,32,51,1951
44,33,Bob Donham,SG,24,BOS,68,,,151,298,.507,,,,151,298,.507,.507,114,229,.498,,,235,139,,,,179,416,1951
45,34,Andy Duncan,F-C,28,BOS,14,,,7,40,.175,,,,7,40,.175,.175,15,22,.682,,,30,8,,,,32,29,1951
46,35,Dike Eddleman,SF,28,TRI,68,,,398,1120,.355,,,,398,1120,.355,.355,244,349,.699,,,410,170,,,,231,1040,1951
47,36,Ray Ellefson,C,28,NYK,3,,,0,4,.000,,,,0,4,.000,.000,4,4,1.000,,,8,0,,,,6,4,1951
48,37,Arnie Ferrin,F-G,25,MNL,68,,,119,373,.319,,,,119,373,.319,.319,114,164,.695,,,271,107,,,,220,352,1951
49,38,Larry Foust,C,22,FTW,68,,,327,944,.346,,,,327,944,.346,.346,261,396,.659,,,681,90,,,,247,915,1951
50,39,Joe Fulks*,PF,29,PHW,66,,,429,1358,.316,,,,429,1358,.316,.316,378,442,.855,,,523,117,,,,247,1236,1951
51,40,Bill Gabor,SG,28,SYR,61,,,255,745,.342,,,,255,745,.342,.342,179,242,.740,,,150,125,,,,213,689,1951
52,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1951
53,41,Harry Gallatin*,F-C,23,NYK,66,,,293,705,.416,,,,293,705,.416,.416,259,354,.732,,,800,180,,,,244,845,1951
54,42,Vern Gardner,SG,25,PHW,61,,,129,383,.337,,,,129,383,.337,.337,69,97,.711,,,237,89,,,,149,327,1951
55,43,Ed Gayda,G-F,23,TRI,15,,,19,46,.413,,,,19,46,.413,.413,18,24,.750,,,39,13,,,,34,56,1951
56,44,Chuck Gilmur,F-C,28,WSC,16,,,17,61,.279,,,,17,61,.279,.279,17,32,.531,,,75,17,,,,57,51,1951
57,45,Bud Grant,F,23,MNL,61,,,53,184,.288,,,,53,184,.288,.288,52,83,.627,,,115,71,,,,106,158,1951
58,46,Alex Groza,C,24,INO,66,,,492,1046,.470,,,,492,1046,.470,.470,445,566,.786,,,709,156,,,,237,1429,1951
59,47,Chick Halbert,C,31,TOT,68,,,164,449,.365,,,,164,449,.365,.365,172,248,.694,,,539,158,,,,216,500,1951
60,47,Chick Halbert,C,31,WSC,35,,,70,205,.341,,,,70,205,.341,.341,91,133,.684,,,,76,,,,120,231,1951
61,47,Chick Halbert,C,31,BLB,33,,,94,244,.385,,,,94,244,.385,.385,81,115,.704,,,,82,,,,96,269,1951
62,48,Bruce Hale,G-F,32,INO,26,,,40,135,.296,,,,40,135,.296,.296,14,23,.609,,,49,42,,,,30,94,1951
63,49,Alex Hannum*,PF,27,SYR,63,,,182,494,.368,,,,182,494,.368,.368,107,197,.543,,,301,119,,,,271,471,1951
64,50,John Hargis,G-F,30,TOT,29,,,48,127,.378,,,,48,127,.378,.378,27,42,.643,,,66,25,,,,58,123,1951
65,50,John Hargis,G-F,30,FTW,14,,,25,66,.379,,,,25,66,.379,.379,17,24,.708,,,30,9,,,,25,67,1951
66,50,John Hargis,G-F,30,TRI,15,,,23,61,.377,,,,23,61,.377,.377,10,18,.556,,,36,16,,,,33,56,1951
67,51,Bob Harris,F-C,23,TOT,56,,,98,295,.332,,,,98,295,.332,.332,86,127,.677,,,291,64,,,,157,282,1951
68,51,Bob Harris,F-C,23,FTW,12,,,13,57,.228,,,,13,57,.228,.228,15,20,.750,,,44,8,,,,19,41,1951
69,51,Bob Harris,F-C,23,BOS,44,,,85,238,.357,,,,85,238,.357,.357,71,107,.664,,,247,56,,,,138,241,1951
70,52,Bob Harrison,G,23,MNL,68,,,150,432,.347,,,,150,432,.347,.347,101,128,.789,,,172,195,,,,218,401,1951
71,53,Billy Hassett,G,29,BLB,31,,,45,160,.281,,,,45,160,.281,.281,43,63,.683,,,34,47,,,,72,133,1951
72,54,Kleggie Hermsen,C-F,27,TOT,71,,,189,644,.293,,,,189,644,.293,.293,155,237,.654,,,448,92,,,,261,533,1951
73,54,Kleggie Hermsen,C-F,27,TRI,48,,,129,453,.285,,,,129,453,.285,.285,126,188,.670,,,,72,,,,191,384,1951
74,54,Kleggie Hermsen,C-F,27,BOS,23,,,60,191,.314,,,,60,191,.314,.314,29,49,.592,,,,20,,,,70,149,1951
75,55,Sonny Hertzberg,G,28,BOS,65,,,206,651,.316,,,,206,651,.316,.316,223,270,.826,,,260,244,,,,156,635,1951
76,56,Paul Hoffman,G-F,25,BLB,41,,,127,399,.318,,,,127,399,.318,.318,105,156,.673,,,202,111,,,,135,359,1951
77,57,Joe Holland,SF,25,INO,67,,,196,594,.330,,,,196,594,.330,.330,78,137,.569,,,344,150,,,,228,470,1951
78,58,Red Holzman*,PG,30,ROC,68,,,183,561,.326,,,,183,561,.326,.326,130,179,.726,,,152,147,,,,94,496,1951
79,59,Joe Hutton,SG,22,MNL,60,,,59,180,.328,,,,59,180,.328,.328,29,43,.674,,,102,53,,,,89,147,1951
80,60,Gene James,F,25,TOT,48,,,79,235,.336,,,,79,235,.336,.336,44,71,.620,,,141,70,,,,118,202,1951
81,60,Gene James,F,25,NYK,6,,,1,3,.333,,,,1,3,.333,.333,1,2,.500,,,4,4,,,,7,3,1951
82,60,Gene James,F,25,BLB,42,,,78,232,.336,,,,78,232,.336,.336,43,69,.623,,,137,66,,,,111,199,1951
83,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1951
84,61,Tony Jaros,F-G,30,MNL,63,,,88,287,.307,,,,88,287,.307,.307,65,103,.631,,,131,72,,,,131,241,1951
85,62,Arnie Johnson,SF,30,ROC,68,,,185,403,.459,,,,185,403,.459,.459,269,371,.725,,,449,175,,,,290,639,1951
86,63,Ralph Johnson,PG,29,FTW,68,,,235,737,.319,,,,235,737,.319,.319,114,162,.704,,,275,183,,,,247,584,1951
87,64,Wah Wah Jones,PF,24,INO,22,,,93,237,.392,,,,93,237,.392,.392,61,77,.792,,,125,85,,,,74,247,1951
88,65,Noble Jorgensen,C,25,TOT,63,,,223,600,.372,,,,223,600,.372,.372,182,265,.687,,,338,91,,,,237,628,1951
89,65,Noble Jorgensen,C,25,TRI,22,,,87,238,.366,,,,87,238,.366,.366,72,102,.706,,,112,27,,,,92,246,1951
90,65,Noble Jorgensen,C,25,SYR,41,,,136,362,.376,,,,136,362,.376,.376,110,163,.675,,,226,64,,,,145,382,1951
91,66,George Kaftan,SF,22,NYK,61,,,111,286,.388,,,,111,286,.388,.388,78,125,.624,,,153,74,,,,102,300,1951
92,67,Jack Kerris,PF,26,FTW,68,,,255,689,.370,,,,255,689,.370,.370,201,295,.681,,,477,181,,,,253,711,1951
93,68,Duane Klueh,G,25,FTW,61,,,157,458,.343,,,,157,458,.343,.343,135,184,.734,,,183,82,,,,143,449,1951
94,69,Frank Kudelka,G-F,25,TOT,62,,,179,518,.346,,,,179,518,.346,.346,83,119,.697,,,158,105,,,,211,441,1951
95,69,Frank Kudelka,G-F,25,WSC,35,,,125,368,.340,,,,125,368,.340,.340,63,92,.685,,,,75,,,,149,313,1951
96,69,Frank Kudelka,G-F,25,BOS,27,,,54,150,.360,,,,54,150,.360,.360,20,27,.741,,,,30,,,,62,128,1951
97,70,Tony Lavelli,F,24,NYK,30,,,32,93,.344,,,,32,93,.344,.344,35,41,.854,,,59,23,,,,56,99,1951
98,71,Bob Lavoy,PF,24,INO,63,,,221,619,.357,,,,221,619,.357,.357,84,133,.632,,,310,76,,,,190,526,1951
99,72,Ed Leede,F-G,23,BOS,57,,,119,370,.322,,,,119,370,.322,.322,140,189,.741,,,118,95,,,,144,378,1951
100,73,Ron Livingstone,C,25,PHW,63,,,104,353,.295,,,,104,353,.295,.295,76,109,.697,,,297,76,,,,220,284,1951
101,74,Earl Lloyd*,SF,22,WSC,7,,,16,35,.457,,,,16,35,.457,.457,11,13,.846,,,47,11,,,,26,43,1951
102,75,Don Lofgran,F-C,21,TOT,61,,,79,270,.293,,,,79,270,.293,.293,79,127,.622,,,157,36,,,,132,237,1951
103,75,Don Lofgran,F-C,21,SYR,47,,,52,175,.297,,,,52,175,.297,.297,58,93,.624,,,,29,,,,103,162,1951
